Max Drawdown,Average Duration,Max Duration,Recovery Factor,Sharpe Ratio,Sortino Ratio,Calmar Ratio,Profit Factor,Win Rate,Loss Rate,Average Win,Average Loss,Max Consecutive Wins,Max Consecutive Losses,Expectancy,Volatility,Annualized Return,Trading Frequency,Turnover Rate,Total Profit,Suitability
BAD,BAD,MEDIUM,GOOD,BAD,BAD,BAD,MEDIUM,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,BAD,GOOD,MEDIUM,GOOD,GOOD,GOOD,GOOD,Not suitable for real market deployment (BAD)
BAD,MEDIUM,MEDIUM,BAD,BAD,BAD,BAD,BAD,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,MEDIUM,MEDIUM,GOOD,BAD,BAD,BAD,MEDIUM,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,BAD,GOOD,MEDIUM,GOOD,GOOD,GOOD,GOOD,May be considered for real market deployment (MEDIUM)
BAD,BAD,MEDIUM,BAD,BAD,BAD,BAD,MEDIUM,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,BAD,GOOD,MEDIUM,GOOD,GOOD,GOOD,GOOD,Not suitable for real market deployment (BAD)
BAD,BAD,MEDIUM,BAD,BAD,BAD,BAD,BAD,BAD,BAD,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,BAD,MEDIUM,BAD,BAD,BAD,BAD,BAD,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,BAD,MEDIUM,BAD,BAD,BAD,BAD,BAD,BAD,BAD,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,MEDIUM,MEDIUM,BAD,BAD,BAD,BAD,BAD,BAD,BAD,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,MEDIUM,MEDIUM,MEDIUM,BAD,BAD,BAD,MEDIUM,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,BAD,GOOD,MEDIUM,GOOD,GOOD,GOOD,GOOD,May be considered for real market deployment (MEDIUM)
BAD,BAD,MEDIUM,BAD,BAD,BAD,BAD,BAD,BAD,BAD,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,MEDIUM,MEDIUM,GOOD,BAD,BAD,BAD,MEDIUM,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,BAD,GOOD,MEDIUM,GOOD,GOOD,GOOD,GOOD,May be considered for real market deployment (MEDIUM)
BAD,BAD,MEDIUM,GOOD,BAD,BAD,BAD,GOOD,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,MEDIUM,GOOD,MEDIUM,GOOD,GOOD,GOOD,GOOD,May be considered for real market deployment (MEDIUM)
BAD,BAD,MEDIUM,BAD,BAD,BAD,BAD,BAD,BAD,BAD,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,BAD,MEDIUM,BAD,BAD,BAD,BAD,BAD,BAD,BAD,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,MEDIUM,MEDIUM,BAD,BAD,BAD,BAD,BAD,BAD,BAD,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,BAD,MEDIUM,BAD,BAD,BAD,BAD,BAD,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,BAD,MEDIUM,BAD,BAD,BAD,BAD,BAD,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,BAD,MEDIUM,BAD,BAD,BAD,BAD,BAD,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,BAD,MEDIUM,MEDIUM,BAD,BAD,BAD,MEDIUM,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,BAD,GOOD,MEDIUM,GOOD,GOOD,GOOD,GOOD,Not suitable for real market deployment (BAD)
BAD,BAD,MEDIUM,BAD,BAD,BAD,BAD,MEDIUM,BAD,BAD,GOOD,GOOD,GOOD,BAD,GOOD,MEDIUM,GOOD,GOOD,GOOD,GOOD,Not suitable for real market deployment (BAD)
BAD,MEDIUM,MEDIUM,BAD,BAD,BAD,BAD,BAD,BAD,BAD,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,MEDIUM,MEDIUM,BAD,BAD,BAD,BAD,BAD,BAD,BAD,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,MEDIUM,MEDIUM,GOOD,BAD,BAD,BAD,MEDIUM,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,BAD,GOOD,MEDIUM,GOOD,GOOD,GOOD,GOOD,May be considered for real market deployment (MEDIUM)
BAD,MEDIUM,MEDIUM,GOOD,BAD,BAD,BAD,MEDIUM,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,BAD,GOOD,MEDIUM,GOOD,GOOD,GOOD,GOOD,May be considered for real market deployment (MEDIUM)
BAD,BAD,MEDIUM,MEDIUM,BAD,BAD,BAD,MEDIUM,BAD,BAD,GOOD,GOOD,GOOD,BAD,GOOD,MEDIUM,GOOD,GOOD,GOOD,GOOD,Not suitable for real market deployment (BAD)
BAD,BAD,MEDIUM,BAD,BAD,BAD,BAD,BAD,BAD,BAD,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,MEDIUM,MEDIUM,BAD,BAD,BAD,BAD,BAD,BAD,BAD,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
GOOD,BAD,MEDIUM,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,Suitable for real market deployment (GOOD)
BAD,BAD,MEDIUM,BAD,BAD,BAD,BAD,BAD,BAD,BAD,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,MEDIUM,MEDIUM,MEDIUM,BAD,BAD,BAD,MEDIUM,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,MEDIUM,GOOD,MEDIUM,GOOD,GOOD,GOOD,GOOD,May be considered for real market deployment (MEDIUM)
BAD,BAD,MEDIUM,BAD,BAD,BAD,BAD,MEDIUM,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,BAD,GOOD,MEDIUM,GOOD,GOOD,GOOD,GOOD,Not suitable for real market deployment (BAD)
BAD,MEDIUM,MEDIUM,BAD,BAD,BAD,BAD,BAD,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,MEDIUM,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,BAD,MEDIUM,BAD,BAD,BAD,BAD,BAD,BAD,BAD,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,BAD,MEDIUM,BAD,BAD,BAD,BAD,MEDIUM,BAD,BAD,GOOD,GOOD,GOOD,BAD,GOOD,MEDIUM,GOOD,GOOD,GOOD,MEDIUM,Not suitable for real market deployment (BAD)
BAD,MEDIUM,MEDIUM,BAD,BAD,BAD,BAD,MEDIUM,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,BAD,GOOD,MEDIUM,GOOD,GOOD,GOOD,GOOD,Not suitable for real market deployment (BAD)
BAD,BAD,MEDIUM,GOOD,BAD,BAD,BAD,MEDIUM,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,MEDIUM,GOOD,MEDIUM,GOOD,GOOD,GOOD,GOOD,May be considered for real market deployment (MEDIUM)
BAD,MEDIUM,MEDIUM,BAD,BAD,BAD,BAD,BAD,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,MEDIUM,MEDIUM,BAD,BAD,BAD,BAD,BAD,BAD,BAD,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,BAD,MEDIUM,GOOD,BAD,BAD,BAD,MEDIUM,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,BAD,GOOD,MEDIUM,GOOD,GOOD,GOOD,GOOD,Not suitable for real market deployment (BAD)
BAD,BAD,MEDIUM,BAD,BAD,BAD,BAD,BAD,BAD,BAD,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,BAD,MEDIUM,BAD,BAD,BAD,BAD,BAD,BAD,BAD,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,BAD,MEDIUM,GOOD,BAD,BAD,BAD,MEDIUM,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,BAD,GOOD,MEDIUM,GOOD,GOOD,GOOD,GOOD,Not suitable for real market deployment (BAD)
GOOD,BAD,MEDIUM,GOOD,BAD,MEDIUM,BAD,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,GOOD,MEDIUM,GOOD,MEDIUM,May be considered for real market deployment (MEDIUM)
BAD,MEDIUM,MEDIUM,BAD,BAD,BAD,BAD,BAD,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,BAD,BAD,MEDIUM,BAD,GOOD,GOOD,BAD,Not suitable for real market deployment (BAD)
BAD,BAD,MEDIUM,GOOD,BAD,BAD,BAD,MEDIUM,MEDIUM,MEDIUM,GOOD,GOOD,GOOD,BAD,GOOD,MEDIUM,GOOD,GOOD,GOOD,GOOD,Not suitable for real market deployment (BAD)
